Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio,FanDuel line,FanDuel line_delta,FanDuel over_hit_prob,FanDuel under_hit_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_hit_prob,DraftKings under_hit_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_hit_prob,BetRivers under_hit_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_hit_prob,BetOnline under_hit_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_hit_prob,Bovada under_hit_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_hit_prob,BetMGM under_hit_prob,BetMGM edge
710,Austin Reaves,FGM,7.5,OVER,PrizePicks,Goblin,,54.8%,C,DO NOT BET,36.65,❌ MISS,7.0,OVER,54.1%,36.3,❌ MISS,OVER,53.5%,35.94,❌ MISS,OVER,56.1%,37.39,❌ MISS,OVER,55.3%,36.96,❌ MISS,0.01,0.61,-0.4,1.3,-1.28,1.0,0.4,0.0102,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Jrue Holiday,RA,10.5,UNDER,Underdog and PrizePicks,,,53.9%,C,DO NOT BET,36.65,❌ MISS,13.0,UNDER,53.2%,35.69,❌ MISS,UNDER,52.7%,35.12,❌ MISS,UNDER,55.3%,38.25,❌ MISS,UNDER,54.6%,37.54,❌ MISS,0.08,0.24,-0.85,0.7,-0.47,0.8,0.4,0.0105,100.0%,10.5,0.0,50.5%,49.5%,0.029,10.5,0.0,49.5%,50.5%,0.0221,,,,,,,,,,,11.5,1.0,35.1%,64.9%,-0.0714,10.5,0.0,48.0%,52.0%,0.0126
712,Immanuel Quickley,FTA,2.5,UNDER,PrizePicks,,,54.7%,C,DO NOT BET,36.63,NO GAME,,UNDER,58.5%,38.71,NO GAME,UNDER,58.8%,38.89,NO GAME,OVER,50.0%,31.67,NO GAME,UNDER,51.6%,34.91,NO GAME,0.37,-0.81,0.25,-1.3,1.89,1.2,1.6,0.0398,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Evan Mobley,REB,9.5,UNDER,Underdog and PrizePicks,,0.87x,56.6%,B,DO NOT BET,36.62,✅ HIT,5.0,UNDER,57.8%,37.28,✅ HIT,UNDER,56.7%,36.63,✅ HIT,UNDER,56.5%,36.56,✅ HIT,UNDER,55.5%,36.0,✅ HIT,-0.21,0.7,-1.37,1.9,-2.47,1.2,0.8,0.0082,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Joel Embiid,PRA,33.5,OVER,Underdog and PrizePicks,,,73.5%,D,STRONG BET,36.61,✅ HIT,48.0,OVER,73.7%,36.97,✅ HIT,OVER,73.3%,36.52,✅ HIT,OVER,73.3%,36.35,✅ HIT,OVER,73.5%,36.58,✅ HIT,-0.79,-1.29,-0.37,-7.5,2.91,1.8,1.6,0.0016,100.0%,33.5,0.0,50.0%,50.0%,0.1524,33.5,0.0,48.9%,51.1%,0.1594,31.5,-2.0,56.8%,43.2%,0.1083,33.5,0.0,49.7%,50.3%,0.1541,34.5,1.0,46.4%,53.6%,0.1755,33.5,0.0,50.0%,50.0%,0.1524
715,Jalen Johnson,3PA,4.5,OVER,Underdog and PrizePicks,,,61.1%,B,BET WITH CAUTION,36.6,✅ HIT,6.0,OVER,61.1%,36.61,✅ HIT,OVER,59.6%,35.79,✅ HIT,OVER,62.5%,37.39,✅ HIT,OVER,61.1%,36.6,✅ HIT,-0.18,-2.27,-2.5,-1.7,1.57,1.2,2.0,0.0103,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Bennedict Mathurin,RA,7.0,UNDER,PrizePicks,,,52.4%,C,DO NOT BET,36.59,❌ MISS,10.0,UNDER,51.3%,36.03,❌ MISS,UNDER,51.0%,35.84,❌ MISS,UNDER,53.8%,37.39,❌ MISS,UNDER,53.3%,37.12,❌ MISS,0.79,-0.0,-1.15,-0.0,0.86,1.2,1.2,0.0122,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Ace Bailey,BLK,0.5,OVER,PrizePicks,Goblin,,52.0%,S,DO NOT BET,36.59,✅ HIT,2.0,OVER,53.4%,38.28,✅ HIT,OVER,52.6%,37.23,✅ HIT,OVER,51.5%,35.92,✅ HIT,OVER,50.6%,34.92,✅ HIT,-0.08,-0.97,-1.5,-1.5,1.38,1.2,2.0,0.0106,100.0%,0.5,0.0,63.2%,36.8%,-0.0726,,,,,,,,,,,,,,,,,,,,,0.5,0.0,61.5%,38.5%,-0.0619
718,Dyson Daniels,FTA,1.5,OVER,PrizePicks,Goblin,,55.7%,C,DO NOT BET,36.54,❌ MISS,0.0,OVER,59.1%,38.37,❌ MISS,OVER,56.6%,37.03,❌ MISS,OVER,54.8%,36.01,❌ MISS,OVER,52.5%,34.76,❌ MISS,-0.06,-0.3,-0.4,-0.5,0.4,0.8,1.2,0.0241,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Ausar Thompson,PA,13.0,UNDER,PrizePicks,,,55.2%,D,DO NOT BET,36.54,❌ MISS,23.0,UNDER,54.1%,35.92,❌ MISS,UNDER,53.8%,35.73,❌ MISS,UNDER,56.8%,37.38,❌ MISS,UNDER,56.3%,37.13,❌ MISS,-0.06,-1.38,-0.53,-3.2,3.05,1.4,2.0,0.0132,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Dyson Daniels,RA,10.5,OVER,Underdog and PrizePicks,Goblin,0.85x,60.3%,C,DO NOT BET,36.53,✅ HIT,17.0,OVER,57.5%,34.99,✅ HIT,OVER,56.9%,34.63,✅ HIT,OVER,64.3%,38.71,✅ HIT,OVER,62.6%,37.78,✅ HIT,-0.55,0.08,-0.99,0.3,-2.36,1.4,0.8,0.0319,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Klay Thompson,STL,0.5,UNDER,PrizePicks,,,54.3%,A,DO NOT BET,36.53,✅ HIT,0.0,UNDER,56.3%,37.63,✅ HIT,UNDER,56.6%,37.76,✅ HIT,UNDER,52.1%,35.28,✅ HIT,UNDER,52.4%,35.45,✅ HIT,0.02,0.4,-0.58,0.3,-0.28,1.2,0.8,0.0212,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Dyson Daniels,PR,17.5,OVER,PrizePicks,,,57.0%,D,DO NOT BET,36.53,✅ HIT,29.0,OVER,57.4%,36.71,✅ HIT,OVER,57.1%,36.56,✅ HIT,OVER,56.8%,36.38,✅ HIT,OVER,56.9%,36.45,✅ HIT,-0.09,-0.46,-1.01,-4.5,3.63,1.4,1.2,0.0022,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,P.J. Washington,AST,1.5,OVER,PrizePicks,,,55.9%,C,DO NOT BET,36.5,❌ MISS,1.0,OVER,57.4%,37.34,❌ MISS,OVER,56.2%,36.69,❌ MISS,OVER,55.5%,36.3,❌ MISS,OVER,54.4%,35.68,❌ MISS,-0.41,0.12,-0.69,0.1,-0.43,1.0,1.2,0.011,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Jaylen Brown,PA,30.5,OVER,Underdog and PrizePicks,,,53.9%,D,DO NOT BET,36.48,✅ HIT,39.0,OVER,52.7%,34.97,✅ HIT,OVER,53.1%,35.43,✅ HIT,OVER,54.8%,37.46,✅ HIT,OVER,55.2%,38.06,✅ HIT,-0.35,-0.43,0.3,-3.9,0.74,1.4,1.6,0.0109,100.0%,30.5,0.0,50.0%,50.0%,0.0256,,,,,,,,,,,,,,,,,,,,,,,,,
725,RJ Barrett,PA,23.5,UNDER,Underdog and PrizePicks,,,57.3%,D,DO NOT BET,36.47,✅ HIT,16.0,UNDER,56.2%,35.86,✅ HIT,UNDER,55.9%,35.68,✅ HIT,UNDER,58.8%,37.28,✅ HIT,UNDER,58.4%,37.04,✅ HIT,-0.19,0.18,-0.18,1.1,-2.24,0.6,0.8,0.0128,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Andrew Nembhard,STL,0.5,OVER,PrizePicks,Goblin,,63.0%,A,BET WITH CAUTION,36.47,❌ MISS,0.0,OVER,64.6%,37.37,❌ MISS,OVER,64.0%,37.04,❌ MISS,OVER,61.9%,35.88,❌ MISS,OVER,61.4%,35.58,❌ MISS,-0.57,-0.94,-4.5,-0.7,0.27,1.8,1.6,0.0137,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Bam Adebayo,RA,13.5,UNDER,Underdog and PrizePicks,,0.89x,53.4%,C,DO NOT BET,36.44,❌ MISS,17.0,UNDER,55.7%,37.71,❌ MISS,UNDER,54.9%,37.26,❌ MISS,UNDER,51.6%,35.45,❌ MISS,UNDER,51.4%,35.34,❌ MISS,-0.12,-0.17,0.35,-1.1,0.3,1.4,1.6,0.0193,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,Tobias Harris,PTS,13.5,UNDER,Underdog and PrizePicks,,,54.0%,D,DO NOT BET,36.44,❌ MISS,22.0,UNDER,52.7%,35.72,❌ MISS,UNDER,53.0%,35.89,❌ MISS,UNDER,55.0%,36.98,❌ MISS,UNDER,55.4%,37.16,❌ MISS,-0.08,-0.02,-0.09,-0.1,-0.27,1.2,1.2,0.0116,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Amen Thompson,FGA,12.5,OVER,PrizePicks,,,53.3%,D,DO NOT BET,36.44,❌ MISS,8.0,OVER,52.2%,35.83,❌ MISS,OVER,51.2%,35.25,❌ MISS,OVER,55.7%,37.74,❌ MISS,OVER,54.2%,36.94,❌ MISS,-0.22,-0.51,1.35,-1.7,0.97,1.2,1.2,0.0175,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,James Harden,PA,30.5,OVER,Underdog and PrizePicks,,,52.8%,D,DO NOT BET,36.44,❌ MISS,25.0,OVER,52.9%,36.45,❌ MISS,OVER,53.2%,36.91,❌ MISS,OVER,52.4%,35.9,❌ MISS,OVER,52.9%,36.5,❌ MISS,-0.21,-0.21,-0.03,-1.7,-0.01,0.8,1.2,0.0031,100.0%,30.5,0.0,51.1%,48.9%,0.0115,30.5,0.0,51.2%,48.8%,0.0107,,,,,,,,,,,31.5,1.0,45.0%,55.0%,0.0509,30.5,0.0,51.1%,48.9%,0.0115
731,Ausar Thompson,REB,5.5,UNDER,Underdog and PrizePicks,,,54.1%,B,DO NOT BET,36.43,✅ HIT,4.0,UNDER,52.6%,35.59,✅ HIT,UNDER,51.6%,35.06,✅ HIT,UNDER,56.6%,37.81,✅ HIT,UNDER,55.6%,37.25,✅ HIT,0.1,-0.18,-0.55,-0.5,0.79,1.0,1.2,0.0206,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Tobias Harris,RA,8.5,UNDER,Underdog,,1.05x,57.6%,C,DO NOT BET,36.37,✅ HIT,6.0,UNDER,57.4%,36.27,✅ HIT,UNDER,56.4%,35.72,✅ HIT,UNDER,58.8%,37.04,✅ HIT,UNDER,57.8%,36.45,✅ HIT,-0.44,1.19,-1.52,2.3,-3.15,1.0,0.4,0.0086,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Julius Randle,FTM,4.5,UNDER,PrizePicks,,,52.2%,B,DO NOT BET,36.37,✅ HIT,2.0,UNDER,52.5%,36.55,✅ HIT,UNDER,53.5%,37.09,✅ HIT,UNDER,50.7%,35.56,✅ HIT,UNDER,52.0%,36.26,✅ HIT,0.22,0.74,0.04,1.9,-1.34,0.8,0.4,0.01,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Jaylen Brown,PRA,36.5,OVER,Underdog,,,60.5%,D,DO NOT BET,36.36,✅ HIT,47.0,OVER,60.6%,36.52,✅ HIT,OVER,60.4%,36.37,✅ HIT,OVER,60.3%,36.11,✅ HIT,OVER,60.6%,36.44,✅ HIT,-0.42,-0.39,0.35,-3.9,-0.29,1.6,1.6,0.0011,100.0%,37.5,1.0,47.0%,53.0%,0.0876,,,,,,,,,,,,,,,,,,,,,,,,,
735,Amen Thompson,PRA,29.5,OVER,Underdog and PrizePicks,,,56.5%,D,DO NOT BET,36.35,✅ HIT,30.0,OVER,58.1%,37.24,✅ HIT,OVER,58.1%,37.21,✅ HIT,OVER,54.8%,35.4,✅ HIT,OVER,55.1%,35.56,✅ HIT,-0.19,-0.69,0.25,-5.5,3.94,1.4,1.2,0.0159,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Onyeka Okongwu,AST,2.5,OVER,Underdog,,0.81x,59.0%,C,DO NOT BET,36.34,❌ MISS,2.0,OVER,58.6%,36.14,❌ MISS,OVER,57.3%,35.43,❌ MISS,OVER,60.8%,37.33,❌ MISS,OVER,59.2%,36.47,❌ MISS,-0.73,-1.08,-1.22,-1.1,0.36,1.2,1.6,0.0124,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Bennedict Mathurin,PA,19.5,OVER,Underdog and PrizePicks,,,58.0%,D,DO NOT BET,36.33,✅ HIT,29.0,OVER,58.6%,36.63,✅ HIT,OVER,59.0%,36.85,✅ HIT,OVER,57.0%,35.78,✅ HIT,OVER,57.5%,36.06,✅ HIT,-0.37,-1.63,0.0,-5.7,4.4,1.2,1.6,0.0078,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Tobias Harris,PR,19.5,UNDER,Underdog,,,56.0%,D,DO NOT BET,36.33,❌ MISS,25.0,UNDER,55.3%,35.98,❌ MISS,UNDER,55.2%,35.9,❌ MISS,UNDER,56.8%,36.77,❌ MISS,UNDER,56.6%,36.69,❌ MISS,-0.29,0.03,-0.39,0.1,-1.23,1.2,1.2,0.0072,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,James Harden,FGA,15.5,OVER,Underdog,,,54.4%,D,DO NOT BET,36.32,❌ MISS,10.0,OVER,54.2%,36.21,❌ MISS,OVER,52.8%,35.43,❌ MISS,OVER,56.1%,37.23,❌ MISS,OVER,54.6%,36.41,❌ MISS,-0.2,-0.02,0.19,-0.1,-0.79,1.2,1.2,0.0116,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,James Harden,AST,8.0,UNDER,PrizePicks,,,52.3%,C,DO NOT BET,36.3,✅ HIT,7.0,UNDER,51.5%,35.87,✅ HIT,UNDER,51.9%,36.08,✅ HIT,UNDER,52.7%,36.52,✅ HIT,UNDER,53.1%,36.72,✅ HIT,0.02,-0.14,0.08,-0.2,0.23,1.4,1.2,0.0062,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Evan Mobley,RA,12.5,OVER,PrizePicks,,,53.2%,C,DO NOT BET,36.3,❌ MISS,9.0,OVER,55.4%,37.53,❌ MISS,OVER,55.0%,37.31,❌ MISS,OVER,51.2%,35.21,❌ MISS,OVER,51.1%,35.13,❌ MISS,-0.03,-1.14,0.88,-2.5,2.44,1.0,1.6,0.0205,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Amen Thompson,RA,12.5,UNDER,Underdog and PrizePicks,,0.88x,53.0%,C,DO NOT BET,36.29,❌ MISS,19.0,UNDER,53.4%,36.51,❌ MISS,UNDER,52.8%,36.2,❌ MISS,UNDER,53.1%,36.33,❌ MISS,UNDER,52.7%,36.11,❌ MISS,0.09,0.22,-0.26,1.3,-0.77,0.8,0.8,0.0027,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Immanuel Quickley,3PA,6.5,UNDER,Underdog,,1.06x,52.1%,B,DO NOT BET,36.25,NO GAME,,UNDER,51.6%,36.01,NO GAME,UNDER,52.1%,36.28,NO GAME,UNDER,52.0%,36.2,NO GAME,UNDER,52.5%,36.48,NO GAME,0.59,-0.94,-0.25,-0.7,1.14,1.2,1.6,0.0031,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Tyler Herro,3PA,6.5,OVER,Underdog,,0.86x,53.3%,B,DO NOT BET,36.24,✅ HIT,8.0,OVER,52.9%,35.99,✅ HIT,OVER,52.0%,35.52,✅ HIT,OVER,54.7%,36.99,✅ HIT,OVER,53.7%,36.46,✅ HIT,0.01,-0.18,-0.25,-0.5,0.52,1.2,1.2,0.0099,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Jaden McDaniels,PTS,15.5,UNDER,Underdog and PrizePicks,,,57.0%,D,DO NOT BET,36.2,❌ MISS,25.0,UNDER,57.6%,36.53,❌ MISS,UNDER,57.7%,36.59,❌ MISS,UNDER,56.2%,35.77,❌ MISS,UNDER,56.5%,35.93,❌ MISS,-0.14,-0.25,-0.44,-1.5,0.64,1.2,0.4,0.0066,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,P.J. Washington,FGA,11.5,OVER,PrizePicks,,,54.4%,D,DO NOT BET,36.2,✅ HIT,15.0,OVER,52.9%,35.36,✅ HIT,OVER,51.7%,34.72,✅ HIT,OVER,57.4%,37.83,✅ HIT,OVER,55.7%,36.91,✅ HIT,-0.12,-0.56,-0.1,-1.5,1.17,1.0,1.6,0.0224,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Amen Thompson,PTS,17.5,OVER,Underdog and PrizePicks,,,53.3%,D,DO NOT BET,36.18,❌ MISS,11.0,OVER,55.4%,37.31,❌ MISS,OVER,54.8%,36.98,❌ MISS,OVER,51.9%,35.38,❌ MISS,OVER,51.3%,35.04,❌ MISS,-0.12,-0.87,0.35,-3.7,3.17,1.6,1.6,0.0179,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Ausar Thompson,PTS,9.5,OVER,Underdog and PrizePicks,,,53.8%,D,DO NOT BET,36.18,✅ HIT,18.0,OVER,55.8%,37.25,✅ HIT,OVER,55.2%,36.91,✅ HIT,OVER,52.5%,35.45,✅ HIT,OVER,51.9%,35.1,✅ HIT,-0.21,1.32,-0.16,2.7,-3.12,0.8,0.4,0.0167,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Onyeka Okongwu,PR,20.5,OVER,PrizePicks,,,58.3%,D,DO NOT BET,36.16,❌ MISS,12.0,OVER,58.7%,36.38,❌ MISS,OVER,58.4%,36.2,❌ MISS,OVER,58.0%,36.0,❌ MISS,OVER,58.1%,36.07,❌ MISS,-0.61,0.61,-0.57,2.7,-5.4,1.2,1.2,0.0027,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Shai Gilgeous-Alexander,RA,10.5,OVER,Underdog and PrizePicks,,0.89x,53.4%,C,DO NOT BET,36.16,❌ MISS,10.0,OVER,52.3%,34.84,❌ MISS,OVER,52.3%,34.75,❌ MISS,OVER,54.9%,37.87,❌ MISS,OVER,54.3%,37.17,❌ MISS,-0.28,0.36,-1.52,0.7,-1.23,0.8,0.4,0.0115,100.0%,10.5,0.0,54.3%,45.7%,-0.0054,,,,,,,,,,,,,,,,,,,,,,,,,
751,Onyeka Okongwu,FTM,1.5,UNDER,PrizePicks,,,51.4%,B,DO NOT BET,36.15,✅ HIT,0.0,OVER,50.6%,31.17,❌ MISS,UNDER,50.7%,35.76,✅ HIT,UNDER,52.3%,36.61,✅ HIT,UNDER,53.4%,37.2,✅ HIT,0.25,0.22,0.63,0.5,0.06,1.4,1.2,0.015,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Jonathan Kuminga,PR,16.5,UNDER,PrizePicks,,,55.3%,D,DO NOT BET,36.14,✅ HIT,13.0,UNDER,64.8%,41.34,✅ HIT,UNDER,64.3%,41.1,✅ HIT,OVER,53.8%,31.06,❌ MISS,OVER,54.0%,31.13,❌ MISS,0.36,-0.29,-0.0,-1.7,3.77,0.8,1.2,0.0924,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Onyeka Okongwu,REB,7.0,UNDER,PrizePicks,,,52.1%,B,DO NOT BET,36.11,✅ HIT,1.0,UNDER,52.3%,36.24,✅ HIT,UNDER,51.4%,35.72,✅ HIT,UNDER,52.8%,36.48,✅ HIT,UNDER,51.9%,36.01,✅ HIT,0.45,-0.12,-0.74,-0.2,0.93,1.0,1.2,0.0052,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Payton Pritchard,TOV,1.5,UNDER,PrizePicks,,,54.1%,A,DO NOT BET,36.11,✅ HIT,1.0,UNDER,51.8%,34.79,✅ HIT,UNDER,52.0%,34.92,✅ HIT,UNDER,56.4%,37.34,✅ HIT,UNDER,56.5%,37.37,✅ HIT,-0.11,0.07,-0.46,0.1,-0.25,1.0,1.2,0.0227,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Darius Garland,3PA,6.5,OVER,Underdog and PrizePicks,Goblin,0.87x,54.3%,B,DO NOT BET,36.11,✅ HIT,9.0,OVER,56.4%,37.26,✅ HIT,OVER,55.2%,36.63,✅ HIT,OVER,53.2%,35.52,✅ HIT,OVER,52.4%,35.04,✅ HIT,-0.04,-0.31,-0.71,-1.1,0.96,1.4,1.2,0.0159,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,LeBron James,RA,12.5,OVER,Underdog and PrizePicks,,,52.6%,C,DO NOT BET,36.1,✅ HIT,18.0,OVER,55.4%,39.42,✅ HIT,OVER,55.0%,38.93,✅ HIT,OVER,50.0%,33.03,✅ HIT,OVER,50.0%,33.03,✅ HIT,-0.04,-0.25,-1.5,-1.7,1.42,1.0,0.8,0.0261,100.0%,12.5,0.0,51.2%,48.8%,0.0092,12.5,0.0,49.7%,50.3%,0.0188,,,,,,,,,,,13.5,1.0,42.0%,58.0%,0.0688,12.5,0.0,52.0%,48.0%,0.0041
757,Jamal Murray,3PM,2.5,OVER,Underdog and PrizePicks,,0.88x,52.8%,S,DO NOT BET,36.09,✅ HIT,9.0,OVER,54.3%,37.88,✅ HIT,OVER,54.0%,37.52,✅ HIT,OVER,51.6%,34.7,✅ HIT,OVER,51.3%,34.27,✅ HIT,-0.55,0.1,-0.41,0.1,-0.66,0.6,0.8,0.0136,100.0%,2.5,0.0,51.9%,48.1%,0.006,2.5,0.0,52.0%,48.0%,0.0052,2.5,0.0,50.8%,49.2%,0.013,2.5,0.0,52.2%,47.8%,0.0036,3.5,1.0,49.5%,50.5%,0.0216,2.5,0.0,53.5%,46.5%,-0.0044
758,Jamal Murray,PR,27.5,OVER,Underdog and PrizePicks,,,54.2%,D,DO NOT BET,36.08,✅ HIT,59.0,OVER,55.9%,37.98,✅ HIT,OVER,55.6%,37.73,✅ HIT,OVER,52.6%,34.24,✅ HIT,OVER,52.8%,34.39,✅ HIT,-0.31,0.35,-0.5,2.1,-3.98,0.8,0.4,0.0151,100.0%,27.5,0.0,50.0%,50.0%,0.0275,28.5,1.0,50.3%,49.7%,0.0253,,,,,,,,,,,28.5,1.0,49.9%,50.1%,0.0279,28.5,1.0,51.7%,48.3%,0.0166
759,Nikola Jokić,PR,40.5,OVER,Underdog and PrizePicks,,,51.1%,D,DO NOT BET,36.07,✅ HIT,44.0,OVER,51.5%,36.61,✅ HIT,OVER,51.5%,36.52,✅ HIT,OVER,50.6%,35.49,✅ HIT,OVER,50.7%,35.65,✅ HIT,-0.01,0.78,0.45,7.7,-7.78,0.8,0.4,0.0041,100.0%,40.5,0.0,48.9%,51.1%,0.014,40.5,0.0,51.2%,48.8%,-0.0007,,,,,,,,,,,41.5,1.0,49.7%,50.3%,0.0092,41.5,1.0,50.9%,49.1%,0.0014
760,Brandon Ingram,3PA,4.5,UNDER,Underdog,,0.84x,55.1%,B,DO NOT BET,36.07,✅ HIT,3.0,UNDER,53.3%,35.07,✅ HIT,UNDER,53.7%,35.26,✅ HIT,UNDER,56.7%,36.92,✅ HIT,UNDER,56.9%,37.03,✅ HIT,0.08,-0.1,-1.5,-0.3,0.54,1.0,1.2,0.0165,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Donovan Mitchell,FTM,5.5,UNDER,Underdog and PrizePicks,,0.78x,57.6%,B,DO NOT BET,36.06,✅ HIT,0.0,UNDER,59.1%,36.87,✅ HIT,UNDER,59.4%,37.0,✅ HIT,UNDER,55.7%,35.0,✅ HIT,UNDER,56.4%,35.37,✅ HIT,-0.03,0.12,-2.04,0.5,-0.63,0.8,0.8,0.0161,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Andrew Nembhard,FTA,2.5,OVER,PrizePicks,,,57.0%,C,DO NOT BET,36.05,✅ HIT,6.0,OVER,60.0%,37.68,✅ HIT,OVER,57.5%,36.29,✅ HIT,OVER,56.6%,35.82,✅ HIT,OVER,54.1%,34.43,✅ HIT,-0.48,-0.84,0.27,-2.9,1.25,1.4,1.2,0.0211,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Scottie Barnes,TOV,2.5,UNDER,Underdog and PrizePicks,,,53.3%,A,DO NOT BET,36.05,✅ HIT,1.0,UNDER,50.9%,34.69,✅ HIT,UNDER,51.1%,34.84,✅ HIT,UNDER,55.6%,37.32,✅ HIT,UNDER,55.7%,37.37,✅ HIT,0.15,0.1,-0.25,0.1,0.05,1.0,0.8,0.0235,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Scottie Barnes,PTS,17.5,UNDER,Underdog and PrizePicks,,0.88x,51.5%,D,DO NOT BET,36.04,✅ HIT,9.0,OVER,51.7%,10.92,❌ MISS,OVER,51.3%,10.4,❌ MISS,UNDER,54.4%,39.48,✅ HIT,UNDER,54.8%,39.87,✅ HIT,0.51,-0.33,0.22,-0.7,1.79,1.4,1.2,0.0307,50.0%,17.5,0.0,46.8%,53.2%,-0.0107,17.5,0.0,48.5%,51.5%,0.0006,17.5,0.0,48.4%,51.6%,-0.0004,17.5,0.0,48.7%,51.3%,0.0014,20.5,3.0,52.5%,47.5%,0.0264,17.5,0.0,51.1%,48.9%,0.017
765,Isaiah Hartenstein,PTS,6.5,OVER,Underdog and PrizePicks,,,61.2%,D,DO NOT BET,36.03,❌ MISS,6.0,OVER,64.5%,39.78,❌ MISS,OVER,63.6%,38.69,❌ MISS,OVER,58.8%,33.37,❌ MISS,OVER,58.0%,32.28,❌ MISS,-0.68,0.58,-1.0,2.7,-5.88,1.4,0.8,0.0286,100.0%,5.5,-1.0,48.2%,51.8%,0.0844,,,,,,,,,,,,,,,,,,,,,,,,,
766,Jaden McDaniels,AST,2.5,OVER,Underdog and PrizePicks,Goblin,0.84x,53.9%,C,DO NOT BET,36.02,❌ MISS,0.0,OVER,53.1%,35.57,❌ MISS,OVER,52.3%,35.13,❌ MISS,OVER,55.7%,37.0,❌ MISS,OVER,54.5%,36.37,❌ MISS,-0.29,-0.31,-0.41,-0.3,0.01,1.2,1.6,0.0131,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
